#1
double	HDU(8761,11) #T_Aussen	Q_Lueft	Q_Heiz	Raumtemp	Te_gl	Q_el_tot	CO2	Raumfeuchte	Strom	TWW	
0	1.9	-1.70	3.47	20.06	-2.98	3.96	1200.82	51.78	158.51	0.00	
3600	4.3	-1.48	4.97	19.99	-2.98	3.96	1207.32	51.92	117.04	0.00	
7200	6	-1.32	5.87	19.94	-2.98	4.03	1211.90	52.03	105.37	0.00	
10800	6.8	-1.25	6.56	19.91	-2.98	4.21	1215.13	52.14	102.58	0.00	
14400	7	-1.23	7.03	19.88	-2.98	4.61	1217.41	52.23	104.84	0.00	
18000	7.1	-1.22	6.82	19.86	-2.98	9.69	1219.01	52.30	125.25	0.00	
21600	7	-1.23	6.19	19.85	-2.98	11.21	1220.14	52.33	221.16	2.10	
25200	7.2	-1.21	6.03	19.85	-2.98	12.09	1184.49	52.33	308.75	35.00	
28800	7.1	-1.22	6.33	19.84	-2.98	8.33	1135.06	52.30	327.19	0.70	
32400	7	-1.23	6.47	19.84	-2.98	8.08	1075.94	52.18	323.56	0.70	
36000	7.3	-1.20	5.96	19.86	-2.98	7.84	997.82	51.96	314.28	0.70	
39600	7.4	-1.19	4.78	19.89	-2.98	7.97	942.77	51.74	317.14	0.70	
43200	7.4	-1.19	4.06	19.92	-2.98	11.77	903.98	51.52	356.05	11.20	
46800	7.6	-1.17	4.05	19.94	-2.98	7.28	876.64	51.37	346.65	0.70	
50400	7.7	-1.16	4.37	19.93	-2.98	6.76	893.83	51.36	301.72	0.70	
54000	7.6	-1.17	5.29	19.91	-2.98	6.69	905.94	51.39	269.89	0.70	
57600	7.5	-1.18	5.87	19.89	-2.98	7.12	914.47	51.44	252.64	0.70	
61200	7.3	-1.20	5.31	19.88	-2.98	11.96	969.09	51.48	276.85	0.70	
64800	7.5	-1.18	4.39	19.88	-2.98	13.00	1044.02	51.55	344.74	3.50	
68400	7.5	-1.18	4.25	19.88	-2.98	9.38	1096.83	51.61	409.18	3.50	
72000	7.6	-1.17	4.62	19.87	-2.98	8.86	1134.04	51.68	399.96	3.50	
75600	7.8	-1.15	5.15	19.87	-2.98	8.08	1160.27	51.76	371.16	3.50	
79200	7.7	-1.16	6.08	19.86	-2.98	7.00	1178.74	51.84	322.97	1.40	
82800	7.2	-1.21	7.35	19.84	-2.98	5.89	1191.77	51.99	238.60	0.00	
