T_Außen;Q_Solar;Q_intern;Q_Transmission;Q_Lüftung;Q_Heizen/Kühlen;Raumtemperatur;Raumtemperatur;Te_gl.Mittel;Q_el_need;Q_el_prod;Q_storage;Q_selfuse;Q_feed-in;Q_from-grid;CO2-Konzentration;Raumfeuchte;Nutzung;Monat;Tag im Monat;Stunde am Tag;Tag im Jahr;Stunde im Jahr;I_glob
20;-1,98;0,46;1,95;0,25;0;18,62;18,62;18,2;0;0;0;0;0;0;399,98;59,9;1;1;2;21;2;45;0
20;-1,98;0,46;1,94;0,25;0;18,63;18,63;18,2;0;0;0;0;0;0;399,98;59,86;1;1;2;22;2;46;0
20;-1,98;0,46;1,92;0,25;0;18,65;18,65;18,2;0;0;0;0;0;0;399,98;59,82;1;1;2;23;2;47;0
20;-1,98;0,46;1,91;0,24;0;18,66;18,66;18,2;0;0;0;0;0;0;399,98;59,79;1;1;2;24;2;48;0
20;-1,98;0,46;1,89;0,24;0;18,67;18,67;18,71;0;0;0;0;0;0;399,98;59,75;1;1;3;1;3;49;0
20;-1,98;0,46;1,88;0,24;0;18,68;18,68;18,71;0;0;0;0;0;0;399,98;59,71;1;1;3;2;3;50;0
20;-1,98;0,46;1,86;0,24;0;18,69;18,69;18,71;0;0;0;0;0;0;399,98;59,68;1;1;3;3;3;51;0
20;-1,98;0,46;1,85;0,24;0;18,7;18,7;18,71;0;0;0;0;0;0;399,98;59,65;1;1;3;4;3;52;0
20;-1,98;0,46;1,84;0,24;0;18,71;18,71;18,71;0;0;0;0;0;0;399,98;59,61;1;1;3;5;3;53;0
20;-1,98;0,46;1,82;0,23;0;18,71;18,71;18,71;0,03;0;0;0;0;0,03;399,98;59,58;1;1;3;6;3;54;0
20;-1,98;0,46;1,81;0,23;0;18,72;18,72;18,71;0,03;0;0;0;0;0,03;399,98;59,55;1;1;3;7;3;55;0
20;-1,98;0,46;1,8;0,23;0;18,73;18,73;18,71;0,03;0;0;0;0;0,03;399,98;59,52;1;1;3;8;3;56;0
20;-1,98;0,46;1,79;0,23;0;18,74;18,74;18,71;0;0;0;0;0;0;399,98;59,49;1;1;3;9;3;57;0
20;-1,98;0,46;1,77;0,23;0;18,75;18,75;18,71;0;0;0;0;0;0;399,98;59,46;1;1;3;10;3;58;0
20;-1,98;0,46;1,76;0,23;0;18,76;18,76;18,71;0;0;0;0;0;0;399,98;59,43;1;1;3;11;3;59;0
20;-1,98;0,46;1,75;0,22;0;18,77;18,77;18,71;0;0;0;0;0;0;399,98;59,4;1;1;3;12;3;60;0
20;-1,98;0,46;1,74;0,22;0;18,77;18,77;18,71;0,03;0;0;0;0;0,03;399,98;59,38;1;1;3;13;3;61;0
20;-1,98;0,46;1,73;0,22;0;18,78;18,78;18,71;0;0;0;0;0;0;399,98;59,35;1;1;3;14;3;62;0
20;-1,98;0,46;1,72;0,22;0;18,79;18,79;18,71;0;0;0;0;0;0;399,98;59,32;1;1;3;15;3;63;0
20;-1,98;0,46;1,71;0,22;0;18,8;18,8;18,71;0;0;0;0;0;0;399,98;59,3;1;1;3;16;3;64;0
20;-1,98;0,46;1,7;0,22;0;18,8;18,8;18,71;0;0;0;0;0;0;399,98;59,27;1;1;3;17;3;65;0
20;-1,98;0,46;1,69;0,22;0;18,81;18,81;18,71;0,03;0;0;0;0;0,03;399,98;59,25;1;1;3;18;3;66;0
