time,br_temp,br_humi,ma_temp,ma_humi,meter0_power_L123,meter2_power_L123,meter2_power_L123
2022-06-04 00:56:00+02:00,22.431,47.12,22.8568,46.7483,107.907,0.0,0.0
2022-06-04 00:57:00+02:00,22.4215,47.14,22.8568,46.7971,109.127,0.0,0.0
2022-06-04 00:58:00+02:00,22.4188,47.2,22.8538,46.7483,105.053,0.0,0.0
2022-06-04 00:59:00+02:00,22.4093,47.21,22.8492,46.7483,97.0085,0.0,0.0
2022-06-04 01:00:00+02:00,22.4175,47.12,22.8538,46.7483,94.8655,0.0,0.0
2022-06-04 01:01:00+02:00,22.412,47.12,22.8462,46.6903,94.6772,0.0,0.0
2022-06-04 01:02:00+02:00,22.4188,47.12,22.8431,46.7391,91.5793,0.0,0.0
2022-06-04 01:03:00+02:00,22.4202,47.12,22.8416,46.8368,89.8772,0.0,0.0
2022-06-04 01:04:00+02:00,22.4107,47.12,22.8385,46.8368,24.8883,0.0,0.0
2022-06-04 01:05:00+02:00,22.4066,47.12,22.8385,46.8337,33.219,0.0,0.0
2022-06-04 01:06:00+02:00,22.408,47.12,22.837,46.8368,28.6487,0.0,0.0
2022-06-04 01:07:00+02:00,22.4039,47.12,22.8339,46.8368,34.7469,0.0,0.0
2022-06-04 01:08:00+02:00,22.3972,47.12,22.8339,46.8093,34.8317,0.0,0.0
2022-06-04 01:09:00+02:00,22.4012,47.12,22.8324,46.7513,27.7916,0.0,0.0
2022-06-04 01:10:00+02:00,22.3958,47.12,22.8294,46.8368,32.7862,0.0,0.0
2022-06-04 01:11:00+02:00,22.3917,47.12,22.8233,46.7483,33.9049,0.0,0.0
2022-06-04 01:12:00+02:00,22.3863,47.12,22.8217,46.7513,34.4166,0.0,0.0
2022-06-04 01:13:00+02:00,22.3877,47.12,22.8202,46.7879,34.3437,0.0,0.0
2022-06-04 01:14:00+02:00,22.3863,47.12,22.8141,46.8337,30.0923,0.0,0.0
2022-06-04 01:15:00+02:00,22.3836,47.12,22.8141,46.8368,31.9805,0.0,0.0
2022-06-04 01:16:00+02:00,22.3863,47.12,22.8141,46.7391,30.3263,0.0,0.0
2022-06-04 01:17:00+02:00,22.3768,47.12,22.8111,46.7483,34.9506,0.0,0.0
2022-06-04 01:18:00+02:00,22.3836,47.12,22.808,46.7696,29.3786,0.0,0.0
2022-06-04 01:19:00+02:00,22.3768,47.12,22.805,46.8001,22.2437,0.0,0.0
2022-06-04 01:20:00+02:00,22.3741,47.12,22.8004,46.7391,27.0601,0.0,0.0
2022-06-04 01:21:00+02:00,22.3768,47.12,22.7958,46.7696,33.6553,0.0,0.0
2022-06-04 01:22:00+02:00,22.3687,47.12,22.7943,46.8337,34.9278,0.0,0.0
2022-06-04 01:23:00+02:00,22.3673,47.12,22.7927,46.8368,25.5674,0.0,0.0
2022-06-04 01:24:00+02:00,22.3633,47.11,22.7927,46.8459,33.509,0.0,0.0
2022-06-04 01:25:00+02:00,22.3687,47.11,22.7851,46.8429,31.4108,0.0,0.0
2022-06-04 01:26:00+02:00,22.3647,47.1,22.7897,46.8581,33.4158,0.0,0.0
2022-06-04 01:27:00+02:00,22.366,47.02,22.7851,46.9436,23.0602,0.0,0.0
2022-06-04 01:28:00+02:00,22.3565,47.07,22.776,46.8429,32.1801,0.0,0.0
2022-06-04 01:29:00+02:00,22.3647,47.1,22.7744,46.8886,30.74,0.0,0.0
2022-06-04 01:30:00+02:00,22.3538,47.1,22.7729,46.9893,32.4541,0.0,0.0
2022-06-04 01:31:00+02:00,22.3511,47.1,22.7683,46.9283,27.85,0.0,0.0
2022-06-04 01:32:00+02:00,22.3457,47.1,22.7653,46.971,28.013,0.0,0.0
2022-06-04 01:33:00+02:00,22.3457,47.03,22.7653,46.8764,34.5509,0.0,0.0
2022-06-04 01:34:00+02:00,22.3362,47.04,22.7607,47.0351,33.4334,0.0,0.0
2022-06-04 01:35:00+02:00,22.3457,47.09,22.7546,46.9771,32.7655,0.0,0.0
2022-06-04 01:36:00+02:00,22.3335,46.99,22.7546,46.9069,31.2951,0.0,0.0
2022-06-04 01:37:00+02:00,22.3362,47.04,22.7531,46.8917,31.8385,0.0,0.0
2022-06-04 01:38:00+02:00,22.3281,47.1,22.7485,46.9619,30.5467,0.0,0.0
2022-06-04 01:39:00+02:00,22.3376,47.04,22.7485,46.9802,32.3706,0.0,0.0
2022-06-04 01:40:00+02:00,22.3254,47.04,22.75,46.9649,122.596,0.0,0.0
2022-06-04 01:41:00+02:00,22.3281,47.08,22.7439,46.8978,115.729,0.0,0.0
2022-06-04 01:42:00+02:00,22.3254,47.01,22.7424,47.0046,105.73,0.0,0.0
2022-06-04 01:43:00+02:00,22.3254,46.99,22.7378,46.9344,107.451,0.0,0.0
2022-06-04 01:44:00+02:00,22.3213,47.02,22.7332,47.0809,101.653,0.0,0.0
2022-06-04 01:45:00+02:00,22.324,47.02,22.7287,46.9314,101.46,0.0,0.0
2022-06-04 01:46:00+02:00,22.3118,46.99,22.7332,46.9131,95.6407,0.0,0.0
2022-06-04 01:47:00+02:00,22.3051,47.07,22.7317,46.8917,105.387,0.0,0.0
2022-06-04 01:48:00+02:00,22.3051,47.02,22.7271,47.0046,99.2184,0.0,0.0
2022-06-04 01:49:00+02:00,22.3132,47.07,22.7271,47.0077,96.7973,0.0,0.0
2022-06-04 01:50:00+02:00,22.3037,47.01,22.7302,46.9131,95.5707,0.0,0.0
2022-06-04 01:51:00+02:00,22.3078,47.08,22.7256,47.0046,100.84,0.0,0.0
2022-06-04 01:52:00+02:00,22.3091,47.1,22.7256,46.9344,35.1426,0.0,0.0
2022-06-04 01:53:00+02:00,22.3023,47.1,22.7241,46.9375,30.9743,0.0,0.0
2022-06-04 01:54:00+02:00,22.2969,47.1,22.7165,46.8764,35.877,0.0,0.0
2022-06-04 01:55:00+02:00,22.3037,47.02,22.7165,47.029,35.0061,0.0,0.0
2022-06-04 01:56:00+02:00,22.3064,47.06,22.7149,46.9375,31.006,0.0,0.0
2022-06-04 01:57:00+02:00,22.301,47.06,22.7073,47.026,32.95,0.0,0.0
2022-06-04 01:58:00+02:00,22.2956,47.03,22.7073,46.8703,35.4463,0.0,0.0
2022-06-04 01:59:00+02:00,22.2996,47.09,22.7073,46.9161,32.0088,0.0,0.0
2022-06-04 02:00:00+02:00,22.2888,47.09,22.7042,47.0229,30.8428,0.0,0.0
2022-06-04 02:01:00+02:00,22.2969,47.09,22.7027,47.026,31.317,0.0,0.0
2022-06-04 02:02:00+02:00,22.2915,47.09,22.7027,46.9985,36.5752,0.0,0.0
2022-06-04 02:03:00+02:00,22.2847,47.09,22.6951,47.026,26.0592,0.0,0.0
2022-06-04 02:04:00+02:00,22.2874,47.09,22.6936,46.9344,30.3857,0.0,0.0
2022-06-04 02:05:00+02:00,22.2902,47.09,22.6875,46.8245,32.1106,0.0,0.0
2022-06-04 02:06:00+02:00,22.2807,47.09,22.6814,46.9161,26.4586,0.0,0.0
2022-06-04 02:07:00+02:00,22.282,47.09,22.6844,46.9253,28.6465,0.0,0.0
2022-06-04 02:08:00+02:00,22.2766,47.09,22.6814,46.9222,27.3639,0.0,0.0
2022-06-04 02:09:00+02:00,22.2672,47.09,22.6814,47.029,36.7055,0.0,0.0
2022-06-04 02:10:00+02:00,22.2698,47.03,22.6737,46.9741,36.7161,0.0,0.0
2022-06-04 02:11:00+02:00,22.2631,47.06,22.6691,47.0168,33.2289,0.0,0.0
2022-06-04 02:12:00+02:00,22.2712,47.09,22.6691,46.9344,28.644,0.0,0.0
2022-06-04 02:13:00+02:00,22.2658,47.09,22.6646,46.9344,32.9436,0.0,0.0
2022-06-04 02:14:00+02:00,22.2631,47.09,22.6615,46.9314,35.4292,0.0,0.0
2022-06-04 02:15:00+02:00,22.259,47.09,22.66,46.9344,37.0475,0.0,0.0
2022-06-04 02:16:00+02:00,22.2536,47.09,22.6569,47.0229,32.7113,0.0,0.0
2022-06-04 02:17:00+02:00,22.2549,47.09,22.6539,47.0168,25.8195,0.0,0.0
2022-06-04 02:18:00+02:00,22.2604,47.09,22.6493,46.9344,33.3544,0.0,0.0
2022-06-04 02:19:00+02:00,22.2482,47.06,22.6463,46.9314,34.7512,0.0,0.0
2022-06-04 02:20:00+02:00,22.2495,47.09,22.6417,46.9405,35.0711,0.0,0.0
2022-06-04 02:21:00+02:00,22.2414,47.09,22.6417,47.0199,30.3754,0.0,0.0
2022-06-04 02:22:00+02:00,22.2509,47.09,22.6356,46.8825,29.1426,0.0,0.0
2022-06-04 02:23:00+02:00,22.2387,47.09,22.6295,46.91,37.4955,0.0,0.0
2022-06-04 02:24:00+02:00,22.2401,47.06,22.6279,46.9253,35.4799,0.0,0.0
2022-06-04 02:25:00+02:00,22.2401,46.98,22.6249,47.0046,32.4283,0.0,0.0
2022-06-04 02:26:00+02:00,22.2414,47.01,22.6203,46.9253,34.7118,0.0,0.0
2022-06-04 02:27:00+02:00,22.2346,46.97,22.6203,47.0199,38.6789,0.0,0.0
2022-06-04 02:28:00+02:00,22.2319,47.01,22.6188,46.9253,117.755,0.0,0.0
2022-06-04 02:29:00+02:00,22.2306,47.05,22.6188,46.9253,117.881,0.0,0.0
2022-06-04 02:30:00+02:00,22.2265,47.0,22.6127,46.9253,108.445,0.0,0.0
2022-06-04 02:31:00+02:00,22.2265,46.97,22.6081,47.0199,108.003,0.0,0.0
2022-06-04 02:32:00+02:00,22.2252,46.97,22.6081,46.9253,104.765,0.0,0.0
2022-06-04 02:33:00+02:00,22.2184,46.97,22.602,46.9253,103.154,0.0,0.0
2022-06-04 02:34:00+02:00,22.2198,46.97,22.599,46.9222,104.195,0.0,0.0
2022-06-04 02:35:00+02:00,22.2184,46.97,22.6005,47.029,103.173,0.0,0.0
2022-06-04 02:36:00+02:00,22.2089,46.97,22.5959,46.9192,106.593,0.0,0.0
2022-06-04 02:37:00+02:00,22.2076,46.97,22.5929,47.0168,97.6558,0.0,0.0
